width,params,repeat,epoch,train_loss,train_acc,test_loss,test_acc
1,774,1,33,2.088665,0.245900,1.903309,0.320800
1,774,1,34,2.048307,0.266300,1.896912,0.322500
1,774,1,35,2.042478,0.267300,1.915571,0.305900
1,774,1,36,2.046626,0.266900,1.923501,0.296900
1,774,1,37,2.043872,0.270000,1.959455,0.288400
1,774,1,38,2.032273,0.269500,1.906813,0.302100
1,774,1,39,2.052025,0.264400,1.922364,0.320800
1,774,1,40,2.033884,0.273700,1.879298,0.322700
1,774,1,41,2.063679,0.257000,1.919066,0.296400
1,774,1,42,2.045833,0.270600,1.963172,0.274700
1,774,1,43,2.060535,0.260600,1.928614,0.291200
1,774,1,44,2.042213,0.269300,1.929448,0.287900
1,774,1,45,2.044589,0.262000,1.922821,0.317700
1,774,1,46,2.057908,0.260500,2.120671,0.202000
1,774,1,47,2.135148,0.224100,1.904701,0.301100
1,774,1,48,2.034246,0.268800,1.908635,0.317500
1,774,1,49,2.038946,0.272700,1.908408,0.304800
1,774,1,50,2.029262,0.275800,1.929401,0.299800
1,774,1,51,2.052256,0.266000,1.942679,0.290900
1,774,1,52,2.033802,0.275200,1.907321,0.298200
1,774,1,53,2.051077,0.259400,1.997304,0.256800
1,774,1,54,2.042999,0.267400,1.882637,0.316900
1,774,1,55,2.026308,0.276300,1.942397,0.297700
1,774,1,56,2.036212,0.268200,1.917985,0.311500
1,774,1,57,2.032635,0.271900,1.928732,0.296600
1,774,1,58,2.036169,0.274500,1.907629,0.317300
1,774,1,59,2.034153,0.274900,1.944451,0.291000
1,774,1,60,2.031047,0.268400,1.932494,0.302200
1,774,1,61,2.043298,0.266000,1.916186,0.306200
1,774,1,62,2.041255,0.266500,1.898760,0.313300
1,774,1,63,2.034375,0.270500,1.942254,0.295800
1,774,1,64,2.030816,0.271900,1.888420,0.317700
1,774,1,65,2.029523,0.272600,1.910556,0.304100
1,774,1,66,2.044787,0.263800,1.892718,0.320800
1,774,1,67,2.043134,0.272500,1.935268,0.299100
1,774,1,68,2.028102,0.279600,1.920870,0.301300
1,774,1,69,2.029005,0.277000,1.916856,0.294000
1,774,1,70,2.022835,0.276300,1.897547,0.319200
1,774,1,71,2.020145,0.272300,1.880183,0.322500
1,774,1,72,2.029348,0.273500,1.910645,0.312100
1,774,1,73,2.022110,0.276600,1.915053,0.300600
1,774,1,74,2.036664,0.264900,1.905923,0.310800
1,774,1,75,2.018892,0.279700,1.900369,0.306000
1,774,1,76,2.024422,0.268500,1.888768,0.315500
1,774,1,77,2.026462,0.278900,1.901937,0.308700
1,774,1,78,2.022670,0.274400,1.932672,0.297200
1,774,1,79,2.019287,0.278000,1.896464,0.306600
1,774,1,80,2.046922,0.263400,1.879306,0.310300
1,774,1,81,2.027120,0.276400,1.930716,0.308600
1,774,1,82,2.029727,0.274600,1.892757,0.328100
1,774,1,83,2.031041,0.272300,1.932895,0.303200
1,774,1,84,2.026452,0.276600,1.893757,0.317800
1,774,1,85,2.026916,0.276900,1.903684,0.313400
1,774,1,86,2.031985,0.275000,1.906876,0.298900
1,774,1,87,2.033328,0.272400,1.892951,0.325100
1,774,1,88,2.014451,0.276700,1.908856,0.306800
1,774,1,89,2.019532,0.280000,1.915475,0.299700
1,774,1,90,2.017439,0.277300,1.904319,0.298400
1,774,1,91,2.027690,0.275800,1.902456,0.308500
1,774,1,92,2.036520,0.268500,1.900214,0.318000
1,774,1,93,2.018815,0.282400,1.899288,0.319800
1,774,1,94,2.018820,0.276800,1.905593,0.300900
1,774,1,95,2.030194,0.280600,1.909677,0.310000
1,774,1,96,2.022321,0.274200,1.883722,0.318300
1,774,1,97,2.012177,0.282300,1.885220,0.321200
1,774,1,98,2.014695,0.282500,1.883597,0.313500
1,774,1,99,2.030129,0.275100,1.930244,0.298600
1,774,1,100,2.017130,0.282300,1.894285,0.326900
1,774,1,101,2.013205,0.279700,1.887168,0.319600
1,774,1,102,2.005287,0.284100,1.888146,0.317600
1,774,1,103,2.009666,0.283100,1.902747,0.309800
1,774,1,104,2.013587,0.280600,1.901953,0.309700
1,774,1,105,2.005047,0.281300,1.873345,0.312400
1,774,1,106,2.011727,0.286800,1.868409,0.320400
1,774,1,107,2.003102,0.283000,1.875644,0.312000
1,774,1,108,2.013740,0.283400,1.870753,0.326400
1,774,1,109,2.008494,0.285300,1.876423,0.320100
1,774,1,110,2.004014,0.284200,1.886196,0.316900
1,774,1,111,2.005863,0.287400,1.872708,0.317100
1,774,1,112,2.002366,0.287000,1.884076,0.308600
1,774,1,113,2.011927,0.282300,1.883117,0.312100
1,774,1,114,2.005169,0.282800,1.862087,0.329800
1,774,1,115,2.017671,0.279200,1.870806,0.323400
1,774,1,116,1.994390,0.287700,1.886582,0.307900
1,774,1,117,2.004482,0.283300,1.875040,0.323700
1,774,1,118,1.998893,0.293800,1.864242,0.318100
1,774,1,119,1.996881,0.284800,1.871297,0.320100
1,774,1,120,1.996440,0.286500,1.866280,0.326200
1,774,1,121,1.996322,0.287500,1.872007,0.321600
1,774,1,122,1.999122,0.284700,1.872213,0.321700
1,774,1,123,1.990263,0.291700,1.869454,0.325700
1,774,1,124,1.993959,0.293300,1.869145,0.321200
1,774,1,125,1.998975,0.286300,1.885148,0.317900
1,774,1,126,1.993063,0.290300,1.879849,0.312700
1,774,1,127,1.993326,0.292200,1.871972,0.318400
1,774,1,128,1.995050,0.287900,1.868513,0.323200
1,774,1,129,1.992012,0.293900,1.862332,0.324600
1,774,1,130,1.990223,0.290500,1.870401,0.316000
